root,w,via,jp,r,note,p
bha,contraband,L,禁制の,900,「お触れに反する」が原義。禁止の ban と同じ語。,kom+bhā-2
bha,banal,L,平凡な,907,もとは領主の共同かまどを指す語。みんなが使う、から陳腐へ転じた。,bhā-2
bha,cacophony,Gr,不協和音,908,「悪い音」の意。その「悪い」の語根は、なんと「排便する」だった。,kakka-+bhā-2
bha,ineffable,L,言葉で言い表せない,920,複数形 ineffables は昔「ズボン」の冗談めいた婉曲語だった。,ne+eghs+bhā-2
bha,infamy,L,悪評,951,fameに否定のin-が付いた形。原義は「悪い評判」。,ne+bhā-2
bha,phoneme,Gr,音素,953,ギリシャ語の「発せられた音」から。1889年、音の最小単位の名に。,bhā-2
bha,blasphemous,Gr,冒涜的な,954,中身は「悪く+言う」。神聖なものを悪く言う、が原義。,mel-5+bhā-2
bha,affable,L,愛想のよい,958,中身は「話しかけやすい」。古英語では wordwynsum と訳された。,ad-+bhā-2
bha,euphemism,Gr,婉曲語法,965,もとは祭儀で不吉な語を口にしない習わしを指した。,(e)su-+bhā-2
bha,fatalism,L,運命論,1002,ラテン語 fatum(定め。もとは「語られたこと」)から。fable や fame と同じ「話す」語である。,bhā-2
bha,gramophone,Gr,蓄音機,1026,ギリシャ語 gramma(書かれたもの)+ phōnē(声)から。phonogram(音の記録)を入れ替えて作られた商標名である。,bhā-2
bha,phonics,Gr,フォニックス,1030,ギリシャ語 phōnē(声)から。phone や symphony と同じ「声」の語である。,bhā-2
bha,polyphonic,Gr,多音の,1030,ギリシャ語で「多くの声の」。symphony と同じ「声」の語が入っている。,pelə-1+bhā-2
bha,megaphone,Gr,メガホン,1039,ギリシャ語で「大きな声」。中身はそのままの作りである。,bhā-2+meg-
bha,fatalistic,L,運命決定的な,1040,ラテン語 fatum(定め。もとは「語られたこと」)から。fable や fame と同じ「話す」語である。,bhā-2
bha,telephony,Gr,電話通信,1042,ギリシャ語 tēle-(遠く)+ phōnē(声)から。telephone や symphony と同じ語からなる。,kʷel-2+bhā-2
bha,polyphony,Gr,多声音楽,1054,ギリシャ語で「多くの声」。full と同じ「満ちる」語をふくむ。,pelə-1+bhā-2
bha,prefatory,L,序文の,1075,preface(序文)から。中身は「前に言うこと」である。,per1+bhā-2
bha,blaspheme,Gr,冒涜する,1079,ギリシャ語で「悪く言う」。blame と同じ語である。,mel-5+bhā-2
bha,apophatic,Gr,否定神学的な,1115,ギリシャ語で「否定して言う」。否定を重ねる神学の方法。,bhā-2+apo-
bha,phatic,Gr,交話的な,1119,ギリシャ語の「話された」。中身より場をつなぐための発話。,bhā-2
bha,defame,L,中傷する,1127,ラテン語で「悪評を広める」。fame と同じ語である。,dwis-+bhā-2
bha,fatuous,L,愚かな,1127,ラテン語 fatuus(愚かな)から。infatuate と同じ語である。,bhā-2
bha,banns,G,婚約予告,1133,古英語の「布告」。ban(禁じる)と同じ「告げる」語である。,bhā-2
bha,headphone,Gr,ヘッドホン,1149,head と phone の合成。phone は「声」が元である。,kaput-+bhā-2
bha,phonic,Gr,音声の,1150,ギリシャ語 phone(声)から。fame と同じ「話す」語である。,bhā-2
bha,cacophonous,Gr,不協和音の,1182,ギリシャ語で「悪い音の」。caco-(悪い)と phone(声)から。,bhā-2+kakka-
bha,antiphon,Gr,応答頌歌,1195,ギリシャ語で「向かい合う声」。anti-(向かって)と phone(声)から。,ant-+bhā-2
bha,xylophone,Gr,木琴,1203,ギリシャ語で「木の声」。xylon(木)と phone(声)から。,bhā-2
bha,stereophonic,Gr,立体音響の,1234,ギリシャ語で「立体の音」。stereos(固い)と phone(音)から。,ster-1+bhā-2
bha,homophone,Gr,同音異義語,1237,ギリシャ語で「同じ音」。homo-(同じ)と phone(音)から。,bhā-2+sem-1
bha,fay,L,妖精,1240,ローマの運命の女神 Fata から。運命を「語る」者が妖精になった。,bhā-2
bha,mauvais,L,質の悪い,1245,「悪い運命を持つ」が縮まった語。悪さの中身が、もとは運の悪さだった。,bhā-2+mel-5
bha,monophonic,Gr,単旋律の,1265,ギリシャ語で「ひとつの音」。mono-(1つ)と phone(音)から。,men-4+bhā-2
bha,euphony,Gr,心地良い音,1266,ギリシャ語で「よい音」。eu-(良い)と phone(音)から。,(e)su-+bhā-2
bha,banlieue,L,郊外,1272,「布告(ban)の届く一里」。町の外で、その町の命令が及ぶ範囲を指した。,bhā-2
bha,fado,L,ポルトガル民謡,1297,ポルトガル語で「運命」。定めを歌う、あの憂いを帯びた民謡である。,bhā-2
bha,fabliau,L,韻文世話話,1309,古フランス語で「小さな話」。fable と同じ「語る」語である。,bhā-2
bha,fandango,L,スペインダンス,1309,スペイン語の舞曲の名。由来ははっきりしない語である。,bhā-2
bha,polyphemus,Gr,ポリュペモス,1322,神話の名。ギリシャ語で「多く語られる者」。poly-(多い)と pheme(言葉)から。,pelə-1+bhā-2
bha,aphonia,Gr,失声症,1355,ギリシャ語で「声がないこと」。否定の a- と phone(声)から。,bhā-2
bha,apophasis,Gr,陽否陰述法,1383,ギリシャ語で「言わずに言うこと」。apo-(離れて)と「語る」語から。,bhā-2
bha,pheme,Gr,語(言語単位),1399,ギリシャ語 pheme(発話)から。fame や fable と同じ「話す」語である。,bhā-2
bha,aphonic,Gr,無声の,1532,ギリシャ語 a-(なし)と phone(声)から。phone や symphony と同じ「声」の語である。,bhā-2+ne
bha,dysphemism,Gr,悪化表現,1536,ギリシャ語 dys-(悪い)と pheme(ことば)から。euphemism の反対で、fame と同じ語である。,bhā-2+dus-
bha,quadraphonic,Gr,四チャンネル方式の,1545,ラテン語 quattuor(4)とギリシャ語 phone(声)から。four と phone を合わせた語である。,bhā-2+kʷetwer-
bha,arrière-ban,L,王の召集令,1734,フランス語 arrière-ban(領主の召集令)から。もとはゲルマン語の「軍の触れ」で、ban と同じ語である。,koro-+bhā-2
bha,fantoccini,L,操り人形,1736,イタリア語 fantoccio(人形)の複数形。infante(子ども)は infant や fame と同じ語である。,bhā-2
bha,bifarious,L,二分された,1782,ラテン語 bifarius(二様の)から。bi-(二)+ fari(話す)で、fate や fable と同じ「話す」語である。,bhā-2
bha,nefandous,L,言語道断の,1789,ラテン語 nefandus(口にすべきでない)から。ne-(打ち消し)+ fari(話す)で、fable や infant(まだ話せぬ者)と同じ「話す」語である。,bhā-2+ne
bha,heterophemy,Gr,言い間違い,2042,ギリシャ語 heteros(別の)+ phēmē(発言)から。heterogeneous と fable と同じ語からなる。,bhā-2+sem-1
gwei,quickly,G,速く,291,quick の語根は「生きる」で、15世紀には「生き生きと」の意だった。,gwei-
gwei,quick,G,速い,394,古英語では「生きている」。生き生きしていることが「速い」に。,gwei-
gwei,biological,Gr,生物学の,442,体内時計を指す言い方は1955年から。意外に新しい言葉。,gwei-+leg-
gwei,survival,L,生存,453,「適者生存」は1864年スペンサーの語で、ダーウィン発ではない。,uper+gwei-
gwei,vital,L,生命の、不可欠な,472,「きわめて重要」の意は1610年代から。命に関わるほど、という含み。,gwei-
gwei,survive,L,生き残る,489,もとは相続の法律用語。「誰より長生きするか」を言う語だった。,uper+gwei-
gwei,vitamin,L,ビタミン,590,命 vita とアミンの合成語。アミンでないと判明し末尾の e が落ちた。,gwei-
gwei,biology,Gr,生物学,593,ドイツとフランスでほぼ同時に、別々に思いつかれた造語。,gwei-+leg-
gwei,viable,L,実行可能な,614,もとは「生きられる」。生まれたての赤ん坊が育つかを言う語だった。,gwei-
gwei,vivid,L,鮮やかな,641,原義は「生きている」。色について使うのは1660年代から。,gwei-
gwei,biodiversity,Gr,生物多様性,644,1988年ごろにできたばかりの、とても新しい言葉。,gwei-+dwis-+wer-3
gwei,biopsy,Gr,生検,663,字義は「生きたまま見る」。1895年、フランスの皮膚科医の造語。,gwei-
gwei,hygiene,Gr,衛生,672,直訳は「よく生きている」。健康の女神ヒュギエイアの名でもある。,aiw-+gwei-
gwei,biography,Gr,伝記,679,動詞形は biographize など何度も試されたが、どれも定着しなかった。,gwei-+gerbh-
gwei,revival,L,復活,681,1660年代には、久しく上演されない芝居の再演を指した。,re-+gwei-
gwei,Zoe,Gr,ゾーイ,691,人名。ギリシャ語で「いのち」そのもの。,gwei-
gwei,whiskey,Ce,ウイスキー,697,原義は「命の水」。ゲール語 uisge beatha を縮めた形。,wed-1+gwei-
gwei,biomedical,Gr,生物医学の,702,中身は「生きる」と「適切にはからう」。治すとは、程よく整えること。,gwei-+med-
gwei,vitality,L,元気,708,もとは「命があること」。生き生きした活気の意は1858年から。,gwei-
gwei,anaerobic,Gr,無酸素の,710,1863年、パスツールの造語。「空気なしで生きる」が語の中身。,gwei-+ne
gwei,aerobic,Gr,有酸素の,724,1863年にパスツールが細菌のために作った語。運動の意味は1968年から。,gwei-+wer-2
gwei,survivor,L,生存者,740,原義は「他より長く生きる人」。逆境に強い人の意は1971年から。,uper+gwei-
gwei,whisky,Ce,ウイスキー,754,ゲール語で「命の水」。usquebaugh が縮んでこの形になった。,wed-1+gwei-
gwei,autobiography,Gr,自伝,763,ギリシャ語 autos(自ら)+ bios(生命)+ graphein(書く)から。auto- と bio- と -graph からなる。,autos+gwei-+gerbh-
gwei,revive,L,回復させる,771,芝居の「再演」の意は1823年から。中身は「もう一度生きる」。,re-+gwei-
gwei,zoo,Gr,動物園,794,Zoological Gardens の頭3文字。当初は下品な略語と嫌われた。,gwei-
gwei,biotechnology,Gr,バイオテクノロジー,802,1947年の初出では、人間に合わせた機械の使い方を指した。,gwei-+teks-+leg-
gwei,quiver,G,震える,814,震える quiver と矢筒の quiver は別語。綴りが同じだけの他人。,gwei-
gwei,biotic,Gr,生命の,821,ギリシャ語 bios(生命)から。biology や antibiotic と同じ「生きる」語である。,gwei-
gwei,biologic,Gr,生物学の,877,bio「生きる」＋logy「語ること」。logy の語根はもと「集める」。,gwei-+leg-
gwei,symbiosis,Gr,共生,881,ギリシャ語で「一緒に暮らすこと」。1876年に生物学の用語になった。,ksun+g^wei-+gwei-
gwei,biochemistry,Gr,生化学,893,ギリシャ語 bios(生命)+ chemistry から。bio- は quick(もとは「生きた」)と同じ語に連なる。,gwei-+gheu-
gwei,vitally,L,極めて重大に,897,語根は「生きる」。意外にも quick が同じ一族。,gwei-
gwei,microbe,Gr,微生物,899,造りが雑で、ギリシャ語として読むと「短命な者」になる。,smīk-+gwei-
gwei,microbiology,Gr,微生物学,917,1880年生まれの若い語。-logy の語根はもとは「集める」。,smīk-+gwei-+leg-
gwei,zodiac,Gr,黄道帯,923,ギリシャ語で「小さな動物の輪」。天秤座だけは動物ではない。,gwei-
gwei,vita,L,略歴,929,ラテン語で「命」。履歴書を指すようになったのは1949年ごろから。,gwei-
gwei,amphibious,Gr,水陸両生の,936,ギリシャ語で「二重の生をもつ」。水陸両用車にも1915年から。,ambhi+gwei-
gwei,quicken,G,速める・活気づける,944,もとは「生き返らせる」。「速める」の意味は17世紀から。,gwei-
gwei,biota,Gr,生物相,973,1901年に作られた新しい語。ある土地の生きもの全部をひとまとめに。,gwei-
gwei,viper,L,毒ヘビ,976,卵を体内でかえすことから「生きたまま産む」と呼ばれたヘビ。,gwei-+perə-1
gwei,Mesozoic,Gr,中生代の,979,「中ほどの生命」の意で1840年の造語。それ以前は「二次代」と呼ばれた。,gwei-+medhyo-
gwei,vivacious,L,活気のある,993,もとは「生命力が強い、長生きな」。陽気の意は後から出た。,gwei-
gwei,convivial,L,宴会の,997,中身は「共に生きる」。ともに食卓を囲むことが宴会の原義。,kom+gwei-
gwei,zooplankton,Gr,動物プランクトン,1004,ギリシャ語 zōion(動物)+ planktos(漂うもの)から。zoo と plankton と同じ語からなる。,gwei-
